"filename", "language", "TypeScript JSX", "TypeScript", "Sass", "XML", "comment", "blank", "total"
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\CanvasContext\CanvasContext.tsx", "TypeScript JSX", 12, 0, 0, 0, 0, 2, 14
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\CanvasContext\atoms\atoms.ts", "TypeScript", 0, 59, 0, 0, 4, 14, 77
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\CanvasContext\useCanvasContext.ts", "TypeScript", 0, 11, 0, 0, 0, 3, 14
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ActionsBar\index.tsx", "TypeScript JSX", 81, 0, 0, 0, 1, 6, 88
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ActionsBar\style.module.sass", "Sass", 0, 0, 9, 0, 0, 2, 11
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\BorderEditor\index.tsx", "TypeScript JSX", 19, 0, 0, 0, 1, 5, 25
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Canvas\index.tsx", "TypeScript JSX", 122, 0, 0, 0, 2, 14, 138
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Canvas\style.module.sass", "Sass", 0, 0, 23, 0, 0, 4, 27
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ColorSelector\index.tsx", "TypeScript JSX", 33, 0, 0, 0, 3, 7, 43
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ColorSelector\style.module.sass", "Sass", 0, 0, 6, 0, 0, 1, 7
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Resizer\index.tsx", "TypeScript JSX", 57, 0, 0, 0, 0, 8, 65
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Resizer\style.module.sass", "Sass", 0, 0, 12, 0, 0, 2, 14
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidebar\index.tsx", "TypeScript JSX", 80, 0, 0, 0, 0, 4, 84
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ColorSideMenu\CanvasColorSM\index.tsx", "TypeScript JSX", 23, 0, 0, 0, 0, 6, 29
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ColorSideMenu\ObjectColorSM\BorderColorSM\index.tsx", "TypeScript JSX", 22, 0, 0, 0, 0, 5, 27
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ColorSideMenu\ObjectColorSM\ElementColorSM\index.tsx", "TypeScript JSX", 30, 0, 0, 0, 0, 7, 37
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ColorSideMenu\ObjectColorSM\TextColorSM\index.tsx", "TypeScript JSX", 21, 0, 0, 0, 0, 5, 26
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ColorSideMenu\ObjectColorSM\index.tsx", "TypeScript JSX", 38, 0, 0, 0, 1, 9, 48
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ColorSideMenu\assets\addcolor.svg", "XML", 0, 0, 0, 22, 0, 1, 23
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ColorSideMenu\index.tsx", "TypeScript JSX", 65, 0, 0, 0, 0, 4, 69
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ColorSideMenu\style.module.sass", "Sass", 0, 0, 19, 0, 0, 5, 24
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ElementsSidemenu\assets\award_star.svg", "XML", 0, 0, 0, 8, 0, 1, 9
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ElementsSidemenu\assets\call.svg", "XML", 0, 0, 0, 8, 0, 1, 9
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ElementsSidemenu\assets\eco.svg", "XML", 0, 0, 0, 8, 0, 1, 9
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ElementsSidemenu\assets\ellipse.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ElementsSidemenu\assets\facebook.svg", "XML", 0, 0, 0, 10, 0, 1, 11
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ElementsSidemenu\assets\location_on.svg", "XML", 0, 0, 0, 8, 0, 1, 9
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ElementsSidemenu\assets\pillRectangle.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ElementsSidemenu\assets\radiusRectangle.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ElementsSidemenu\assets\rectangle.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ElementsSidemenu\assets\restaurant.svg", "XML", 0, 0, 0, 8, 0, 1, 9
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ElementsSidemenu\assets\square.svg", "XML", 0, 0, 0, 3, 0, 1, 4
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ElementsSidemenu\assets\star.svg", "XML", 0, 0, 0, 8, 0, 1, 9
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ElementsSidemenu\assets\whatsapp.svg", "XML", 0, 0, 0, 4, 0, 1, 5
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ElementsSidemenu\index.tsx", "TypeScript JSX", 71, 0, 0, 0, 17, 4, 92
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ElementsSidemenu\style.module.sass", "Sass", 0, 0, 5, 0, 0, 1, 6
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ImagesSidemenu\index.tsx", "TypeScript JSX", 75, 0, 0, 0, 1, 6, 82
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\ImagesSidemenu\style.module.sass", "Sass", 0, 0, 7, 0, 0, 1, 8
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\LayersSubmenu\LayerContent\index.tsx", "TypeScript JSX", 25, 0, 0, 0, 0, 3, 28
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\LayersSubmenu\LayerSvg\index.tsx", "TypeScript JSX", 40, 0, 0, 0, 1, 4, 45
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\LayersSubmenu\index.tsx", "TypeScript JSX", 90, 0, 0, 0, 1, 7, 98
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\LayersSubmenu\style.module.sass", "Sass", 0, 0, 28, 0, 0, 2, 30
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\TextSidemenu\index.tsx", "TypeScript JSX", 72, 0, 0, 0, 0, 6, 78
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\TextSidemenu\style.module.sass", "Sass", 0, 0, 62, 0, 0, 34, 96
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\UploadsSidemenu\Image\index.tsx", "TypeScript JSX", 33, 0, 0, 0, 0, 3, 36
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\UploadsSidemenu\index.tsx", "TypeScript JSX", 76, 0, 0, 0, 0, 9, 85
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\index.tsx", "TypeScript JSX", 42, 0, 0, 0, 1, 6, 49
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Sidemenus\style.module.sass", "Sass", 0, 0, 3, 0, 0, 0, 3
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\SliderSelector\BorderSliderSelector.tsx", "TypeScript JSX", 36, 0, 0, 0, 0, 2, 38
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\SliderSelector\OpacitySliderSelector.tsx", "TypeScript JSX", 17, 0, 0, 0, 0, 2, 19
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\SliderSelector\index.tsx", "TypeScript JSX", 74, 0, 0, 0, 2, 5, 81
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\SliderSelector\style.module.sass", "Sass", 0, 0, 30, 0, 0, 5, 35
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ThreePointsMenu\assets\allineate.svg", "XML", 0, 0, 0, 7, 0, 1, 8
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ThreePointsMenu\assets\alto.svg", "XML", 0, 0, 0, 9, 0, 1, 10
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ThreePointsMenu\assets\basso.svg", "XML", 0, 0, 0, 9, 0, 1, 10
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ThreePointsMenu\assets\bringToFront.svg", "XML", 0, 0, 0, 11, 0, 1, 12
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ThreePointsMenu\assets\centro.svg", "XML", 0, 0, 0, 11, 0, 1, 12
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ThreePointsMenu\assets\centro2.svg", "XML", 0, 0, 0, 11, 0, 1, 12
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ThreePointsMenu\assets\chevron-right.svg", "XML", 0, 0, 0, 5, 0, 1, 6
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ThreePointsMenu\assets\copy.svg", "XML", 0, 0, 0, 5, 0, 1, 6
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ThreePointsMenu\assets\corner-down-right.svg", "XML", 0, 0, 0, 5, 0, 1, 6
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ThreePointsMenu\assets\corner-right-up.svg", "XML", 0, 0, 0, 5, 0, 1, 6
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ThreePointsMenu\assets\destra.svg", "XML", 0, 0, 0, 9, 0, 1, 10
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ThreePointsMenu\assets\down.svg", "XML", 0, 0, 0, 10, 0, 1, 11
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ThreePointsMenu\assets\duplicate.svg", "XML", 0, 0, 0, 11, 0, 1, 12
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ThreePointsMenu\assets\layers.svg", "XML", 0, 0, 0, 5, 0, 1, 6
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ThreePointsMenu\assets\opacity.svg", "XML", 0, 0, 0, 7, 0, 1, 8
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ThreePointsMenu\assets\paste.svg", "XML", 0, 0, 0, 10, 0, 1, 11
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ThreePointsMenu\assets\sendToBack.svg", "XML", 0, 0, 0, 11, 0, 1, 12
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ThreePointsMenu\assets\sinistra.svg", "XML", 0, 0, 0, 9, 0, 1, 10
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ThreePointsMenu\assets\threepoints.svg", "XML", 0, 0, 0, 9, 0, 1, 10
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ThreePointsMenu\assets\trash.svg", "XML", 0, 0, 0, 5, 0, 1, 6
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ThreePointsMenu\assets\up.svg", "XML", 0, 0, 0, 10, 0, 1, 11
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ThreePointsMenu\index.tsx", "TypeScript JSX", 64, 0, 0, 0, 1, 3, 68
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ThreePointsMenu\menuInfo.tsx", "TypeScript JSX", 232, 0, 0, 0, 4, 22, 258
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\ThreePointsMenu\style.module.sass", "Sass", 0, 0, 24, 0, 0, 3, 27
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Toolbars\CanvasToolbar\index.tsx", "TypeScript JSX", 16, 0, 0, 0, 0, 3, 19
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Toolbars\ElementToolbar\assets\border.svg", "XML", 0, 0, 0, 5, 0, 1, 6
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Toolbars\ElementToolbar\index.tsx", "TypeScript JSX", 21, 0, 0, 0, 0, 3, 24
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Toolbars\ElementToolbar\style.module.sass", "Sass", 0, 0, 4, 0, 0, 2, 6
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Toolbars\ImageToolbar\index.tsx", "TypeScript JSX", 53, 0, 0, 0, 0, 6, 59
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Toolbars\ImageToolbar\style.module.sass", "Sass", 0, 0, 8, 0, 0, 1, 9
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Toolbars\TextToolbar\FontFamilySelector\index.tsx", "TypeScript JSX", 32, 0, 0, 0, 0, 4, 36
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Toolbars\TextToolbar\FontFamilySelector\style.module.sass", "Sass", 0, 0, 5, 0, 0, 2, 7
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Toolbars\TextToolbar\FontSizeHandler\index.tsx", "TypeScript JSX", 42, 0, 0, 0, 0, 5, 47
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Toolbars\TextToolbar\FontSizeHandler\style.module.sass", "Sass", 0, 0, 20, 0, 0, 4, 24
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Toolbars\TextToolbar\TextAlignmentToggler\index.tsx", "TypeScript JSX", 50, 0, 0, 0, 0, 5, 55
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Toolbars\TextToolbar\TextAlignmentToggler\style.module.sass", "Sass", 0, 0, 7, 0, 0, 2, 9
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Toolbars\TextToolbar\Toggler\index.tsx", "TypeScript JSX", 49, 0, 0, 0, 0, 4, 53
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Toolbars\TextToolbar\Toggler\style.module.sass", "Sass", 0, 0, 7, 0, 0, 2, 9
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Toolbars\TextToolbar\index.tsx", "TypeScript JSX", 105, 0, 0, 0, 1, 10, 116
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Toolbars\TextToolbar\style.module.sass", "Sass", 0, 0, 7, 0, 0, 1, 8
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\Components\Toolbars\index.tsx", "TypeScript JSX", 22, 0, 0, 0, 0, 3, 25
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\assets\threedots.svg", "XML", 0, 0, 0, 9, 0, 1, 10
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\assets\trash.svg", "XML", 0, 0, 0, 5, 0, 1, 6
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\constants\elementSectionTypes.ts", "TypeScript", 0, 1, 0, 0, 0, 1, 2
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\constants\fonts.ts", "TypeScript", 0, 15, 0, 0, 0, 1, 16
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\helpers\imageHandlers.ts", "TypeScript", 0, 37, 0, 0, 0, 5, 42
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\helpers\isElement.ts", "TypeScript", 0, 6, 0, 0, 0, 3, 9
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\helpers\renderIcon.ts", "TypeScript", 0, 34, 0, 0, 0, 2, 36
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\hooks\useCanvasAsState.ts", "TypeScript", 0, 16, 0, 0, 0, 3, 19
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\hooks\useSubscribeFunctionGenerator.ts", "TypeScript", 0, 12, 0, 0, 0, 3, 15
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\hooks\useSyncMultipleValues.ts", "TypeScript", 0, 20, 0, 0, 1, 4, 25
"c:\Users\Asus\Desktop\Aigot\RC-Shared-Components-Frontend\lib\components\GraphicEditor\index.tsx", "TypeScript JSX", 161, 0, 0, 0, 3, 14, 178
"Total", "-", 2101, 211, 286, 292, 45, 372, 3307